Grupo,Asignatura,Profesor,Edificio,Salon,Lun,Mar,Mie,Jue,Vie,Sab
1MM3,ALGEBRA LINEAL Y NUMEROS COMPLEJOS,OLGUIN IGLESIAS ALEJANDRO,5,538,12:00-13:30,,10:30-12:00,,13:30-15:00,
1MM3,CALCULO DIFERENCIAL E INTEGRAL,ESCAMILLA ESQUIVEL ADOLFO,3,321,,12:00-13:30,12:00-13:30,12:00-13:30,12:00-13:30,
1MM3,INTRODUCCION A LA PROGRAMACION,KINANI . JEAN MARIE VIANNEY,5,511,13:30-15:00,,13:30-15:00,,10:30-12:00,
1MM3,MECANICA DE LA PARTICULA,SIN ASIGNAR,X,X,07:30-09:00,07:30-09:00,,,07:30-09:00,
1MM4,ANALISIS Y DISEÑO DE PROGRAMAS,KINANI . JEAN MARIE VIANNEY,5,512,07:30-09:00,,,09:00-10:30,,
1MM4,CALCULO VECTORIAL,VEGA BLANCO MANUEL VLADIMIR,5,518,13:30-15:00,15:00-16:30,13:30-15:00,,13:30-15:00,
1MM4,CIRCUITOS ELECTRICOS,LOZADA REYES FABIAN EFRAIN,5,521,,09:00-10:30,,13:30-15:00,,
1MM4,ECUACIONES DIFERENCIALES,TOLEDO SESMA LEONEL,5,523,,13:30-15:00,,15:00-16:30,15:00-16:30,
1MM4,COMUNICACION ORAL Y ESCRITA,ALCANTARA OROZCO ANGELICA,5,518,12:00-13:30,10:30-12:00,12:00-13:30,,,
1MM4,MECANICA DEL CUERPO RIGIDO,CERRO RAMIREZ MIGUEL ANGEL,5,518,10:30-12:00,,,10:30-12:00,10:30-12:00,
1MM4,PROCESO DE MANUFACTURA,HERNANDEZ GARDUÑO JUAN,5,507,09:00-10:30,,09:00-10:30,,09:00-10:30,
1MM4,PROCESO DE MANUFACTURA,MARES CARREÑO JESUS,,,,,,,,
1MM5,ANALISIS Y DISEÑO DE PROGRAMAS,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,12:00-13:30,12:00-13:30,,,,
1MM5,CALCULO VECTORIAL,VEGA BLANCO MANUEL VLADIMIR,5,521,10:30-12:00,10:30-12:00,15:00-16:30,12:00-13:30,,
1MM5,CIRCUITOS ELECTRICOS,GONZALEZ SIERRA JAIME,5,501,13:30-15:00,,10:30-12:00,,,
1MM5,ECUACIONES DIFERENCIALES,TOLEDO SESMA LEONEL,3,313,,,09:00-10:30,10:30-12:00,12:00-13:30,
1MM5,COMUNICACION ORAL Y ESCRITA,MORA RODRIGUEZ JOSÉ ALEJANDRO,5,523,09:00-10:30,,,09:00-10:30,09:00-10:30,
1MM5,MECANICA DEL CUERPO RIGIDO,CERRO RAMIREZ MIGUEL ANGEL,5,532,,13:30-15:00,,13:30-15:00,15:00-16:30,
1MM5,PROCESO DE MANUFACTURA,HERNANDEZ GARDUÑO JUAN,5,507,,09:00-10:30,12:00-13:30,,10:30-12:00,
1MM6,CIRCUITOS ELECTRICOS AVANZADOS,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,311,,13:30-15:00,,12:00-13:30,13:30-15:00,
1MM6,ELECTRICIDAD Y MAGNETISMO,SIN ASIGNAR,X,X,,12:00-13:30,13:30-15:00,10:30-12:00,,
1MM6,FUNDAMENTOS DE ELECTRONICA,TRUJILLO FRANCO LUIS GERARDO,5,501,,09:00-10:30,,09:00-10:30,12:00-13:30,
1MM6,INGLES I,SANCHEZ SOLIS LIZZETH,3,321,13:30-15:00,,,,10:30-12:00,
1MM7,CIRCUITOS ELECTRICOS AVANZADOS,ROA TORT KAREN,5,501,,09:00-10:30,09:00-10:30,10:30-12:00,,
1MM7,ELECTRICIDAD Y MAGNETISMO,SIN ASIGNAR,X,X,12:00-13:30,,12:00-13:30,,12:00-13:30,
1MM7,FUNDAMENTOS DE ELECTRONICA,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,327,,12:00-13:30,10:30-12:00,,10:30-12:00,
1MM7,INGLES I,SANCHEZ SOLIS LIZZETH,3,322,16:30-18:00,,,13:30-15:00,,
1MM8,INGLES II,SANCHEZ SOLIS LIZZETH,3,311,15:00-16:30,,16:30-18:00,,,
1MM8,RESISTENCIA DE MATERIALES,ESCAMILLA NAVARRO ALEJANDRO,3,313,09:00-10:30,09:00-10:30,,09:00-10:30,,
1MM9,INGLES II,SANCHEZ SOLIS LIZZETH,3,313,,,15:00-16:30,16:30-18:00,,
1MM9,RESISTENCIA DE MATERIALES,CRUZ CASTRO JUAN,5,527,09:00-10:30,09:00-10:30,,09:00-10:30,,
2MM1,ANALISIS DE SEÑALES Y SISTEMAS,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,5,531,10:30-12:00,,10:30-12:00,,09:00-10:30,
2MM1,ANALISIS Y SINTESIS DE MECANISMOS,VERGARA HERNANDEZ ERASTO,5,522,12:00-13:30,10:30-12:00,09:00-10:30,,,
2MM1,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,GONZALEZ SIERRA JAIME,5,531,09:00-10:30,,12:00-13:30,13:30-15:00,,
2MM2,ANALISIS DE SEÑALES Y SISTEMAS,TRUJILLO FRANCO LUIS GERARDO,3,301,13:30-15:00,10:30-12:00,,,13:30-15:00,
2MM2,ANALISIS Y SINTESIS DE MECANISMOS,GARCIA TOVAR ENRIQUE ARTURO,3,321,09:00-10:30,,,09:00-10:30,09:00-10:30,
2MM2,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA,GONZALEZ SIERRA JAIME,3,328,10:30-12:00,,13:30-15:00,12:00-13:30,,
2MM3,ELECTRONICA ANALOGICA,TRUJILLO FRANCO LUIS GERARDO,3,327,,,13:30-15:00,12:00-13:30,09:00-10:30,
2MM3,OSCILACIONES Y OPTICA,ESCAMILLA ROA JESUS,3,328,10:30-12:00,,,10:30-12:00,12:00-13:30,
2MM3,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA,LEDESMA ORTIZ JAIME,5,513,,07:30-09:00,07:30-09:00,,10:30-12:00,
2MM3,PROGRAMACION AVANZADA,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,517,,,,15:00-16:30,15:00-16:30,
2MM3,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS,OLIVA MORENO LUZ NOE,5,528,,,09:00-10:30,,07:30-09:00,
2MM3,TERMODINAMICA,OLGUIN IGLESIAS ALEJANDRO,5,532,13:30-15:00,12:00-13:30,12:00-13:30,,,
2MM4,OSCILACIONES Y OPTICA,ESCAMILLA ROA JESUS,5,527,,13:30-15:00,10:30-12:00,,13:30-15:00,
2MM4,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA,LEDESMA ORTIZ JAIME,5,513,07:30-09:00,10:30-12:00,,07:30-09:00,,
2MM4,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS,OLIVA MORENO LUZ NOE,5,528,12:00-13:30,,,13:30-15:00,,
2MM5,ADMINISTRACION ORGANIZACIONAL,VERA ROMERO JUAN,3,327,,,,12:00-13:30,10:30-12:00,
2MM5,CIRCUITOS LOGICOS,ABARCA JIMENEZ GRISELDA STEPHANY,3,322,,09:00-10:30,09:00-10:30,10:30-12:00,,
2MM5,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS,LOPEZ GRIJALBA YUNUEN,3,308,09:00-10:30,10:30-12:00,,,13:30-15:00,
2MM5,INGLES III,SANCHEZ SOLIS LIZZETH,3,307,,16:30-18:00,,15:00-16:30,,
2MM5,MECANICA DE FLUIDOS,CRUZ CASTRO JUAN,5,538,,12:00-13:30,,,09:00-10:30,
2MM5,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ",RIVERA FERNANDEZ JOSUE DANIEL,5,523,15:00-16:30,07:30-09:00,07:30-09:00,,,
2MM5,TEORIA ELECTROMAGNETICA,SIN ASIGNAR,X,X,10:30-12:00,,10:30-12:00,09:00-10:30,,
2MM7,DISPOSITIVOS LOGICOS PROGRAMABLES,GUZMAN DOMINGUEZ ISAAC,5,517,,,15:00-16:30,,13:30-15:00,
2MM7,INGLES III,SANCHEZ SOLIS LIZZETH,3,301,,,10:30-12:00,,15:00-16:30,
2MM7,MAQUINAS ELECTRICAS,VERGARA HERNANDEZ ERASTO,5,523,09:00-10:30,12:00-13:30,,,,
2MM7,NEUMATICA E HIDRAULICA,AVILES VILLAREAL RODRIGO,3,327,10:30-12:00,13:30-15:00,,,,
2MM7,NEUMATICA E HIDRAULICA,HERNANDEZ GARDUÑO JUAN,,,,,,,,
2MM7,SENSORES Y ACONDICIONADORES DE SEÑAL,GUZMAN DOMINGUEZ ISAAC,5,518,,10:30-12:00,,10:30-12:00,,
2MM8,LIDERAZGO Y EMPRENDEDORES,MORA RODRIGUEZ JOSÉ ALEJANDRO,5,521,07:30-09:00,,,07:30-09:00,,
2MM8,SISTEMAS NEURODIFUSOS,CALDERON OSORNO JOSE LUIS,5,517,,,09:00-10:30,,09:00-10:30,
3MM1,ETICA PARA EL EJERCICIO PROFESIONAL,VERA ROMERO JUAN,5,533,,,,07:30-09:00,07:30-09:00,
3MM1,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS,GALVAN GUERRA ROSALBA,5,521,12:00-13:30,,13:30-15:00,,,
3MM2,CONTROL CLASICO,GONZALEZ SIERRA JAIME,5,538,12:00-13:30,,,09:00-10:30,10:30-12:00,
3MM2,INSTRUMENTACION VIRTUAL,GARCIA TOVAR ENRIQUE ARTURO,5,518,,,07:30-09:00,07:30-09:00,,
3MM2,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS,LOPEZ GRIJALBA YUNUEN,3,322,07:30-09:00,07:30-09:00,,13:30-15:00,,
3MM2,FINANZAS E INGENIERIA ECONOMICA,LEDESMA ORTIZ JAIME,5,531,,09:00-10:30,,12:00-13:30,,
3MM3,PROCESADOR DIGITAL DE SEÑALES,FABILA BUSTOS DIEGO ADRIAN,5,518,09:00-10:30,,10:30-12:00,,,
3MM3,PROYECTO INTEGRADOR,MARES CARREÑO JESUS,5,528,,,13:30-15:00,09:00-10:30,,
3MM4,AUTOMATAS INDUSTRIALES,MARES CARREÑO JESUS,3,322,,12:00-13:30,,12:00-13:30,,
3MM4,TOPICOS AVANZADOS DE SENSORES,ABARCA JIMENEZ GRISELDA STEPHANY,3,322,10:30-12:00,10:30-12:00,07:30-09:00,,,
3MM5,PRODUCCION MAS LIMPIA,ESCAMILLA LOPEZ FRANCISCO JAVIER,5,528,10:30-12:00,10:30-12:00,07:30-09:00,,,
3MM5,PROTOCOLOS AVANZADOS DE COMUNICACIONES,ILIZALITURRI FLORES IAN,X,X,,,,13:30-15:00,10:30-12:00,
3MM7,AUTOMATIZACION INDUSTRIAL,VERGARA HERNANDEZ ERASTO,3,313,10:30-12:00,,10:30-12:00,,10:30-12:00,
3MM7,INGENIERIA AMBIENTAL,ESCAMILLA LOPEZ FRANCISCO JAVIER,3,313,,,13:30-15:00,,07:30-09:00,
3MM8,SISTEMAS OPERATIVOS EN TIEMPO REAL,CASTAÑEDA GALVAN ADRIAN ANTONIO,5,531,15:00-16:30,12:00-13:30,,10:30-12:00,,
3MM9,GRAFICACION EN 3D,KINANI . JEAN MARIE VIANNEY,3,318,,12:00-13:30,,10:30-12:00,09:00-10:30,
3MM11,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS,LOPEZ GRIJALBA YUNUEN,3,327,13:30-15:00,,09:00-10:30,,09:00-10:30,
3MM11,FINANZAS E INGENIERIA ECONOMICA,LEDESMA ORTIZ JAIME,5,533,,,13:30-15:00,,12:00-13:30,
3MM11,INGENIERIA AMBIENTAL,ESCAMILLA LOPEZ FRANCISCO JAVIER,3,313,,07:30-09:00,,07:30-09:00,,
4MM1,ELECTRONICA DE POTENCIA,VILLAMAR MARTÍNEZ LUIS ARMANDO,3,312,13:30-15:00,,,,12:00-13:30,
4MM2,INGENIERIA ASISTIDA POR COMPUTADORA,MARES CARREÑO JESUS,5,513,12:00-13:30,09:00-10:30,,,13:30-15:00,
4MM2,PROYECTOS DE INVERSION,VERA ROMERO JUAN,5,531,,13:30-15:00,,,12:00-13:30,
4MM3,CONTROL DE SISTEMAS MECATRONICOS,OCHOA GALVAN BLANCA MARGARITA,5,527,,15:00-16:30,15:00-16:30,,12:00-13:30,
4MM3,SISTEMAS DE VISION ARTIFICIAL,RIVERA FERNANDEZ JOSUE DANIEL,5,512,13:30-15:00,,,15:00-16:30,,
4MM4,VISION ARTIFICIAL APLICADA,HERNANDEZ QUINTANAR LUIS FELIPE DE JESUS,5,511,,10:30-12:00,,12:00-15:00,,
4MM5,MICROCONTROLADORES AVANZADOS,FABILA BUSTOS DIEGO ADRIAN,5,511,,13:30-15:00,,09:00-10:30,13:30-15:00,
4MM6,INTEGRACION DE UN SISTEMA ROBOTICO,CEA MONTUFAR CESAR EDUARDO,3,312,13:30-15:00,13:30-15:00,13:30-15:00,,,
4MM6,CONTROL DE SISTEMAS ROBOTICOS,VELAZQUEZ VELAZQUEZ JUAN EDUARDO,3,327,12:00-13:30,12:00-13:30,,13:30-15:00,,
4MM7,METODOLOGIA DE LA INVESTIGACION,HERNANDEZ GARCIA DR. DOMINGO,5,518,09:00-10:30,09:00-10:30,09:00-10:30,,,
4MM7,INSTRUMENTACION VIRTUAL APLICADA,GARCIA TOVAR ENRIQUE ARTURO,5,533,12:00-13:30,12:00-13:30,,13:30-15:00,,
4MM7,PROYECTO DE SISTEMAS EMBEBIDOS,OLIVA MORENO LUZ NOE,3,321,13:30-15:00,13:30-15:00,13:30-15:00,,,
4MM8,REALIDAD VIRTUAL,KINANI . JEAN MARIE VIANNEY,3,317,12:00-13:30,,,12:00-15:00,,
5MM1,CONTROL DE MAQUINAS ELECTRICAS,VERGARA HERNANDEZ ERASTO,3,321,07:30-09:00,,07:30-09:00,,,
5MM2,TRABAJO TERMINAL I,FABILA BUSTOS DIEGO ADRIAN,5,508,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,15:00-16:30,
5MM3,TRABAJO TERMINAL II,MARES CARREÑO JESUS,5,508,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,07:30-09:00,
1SM3,CALCULO DIFERENCIAL E INTEGRAL,GARCIA SANCHEZ SILVESTRE ASCENCION,3,313,07:30-09:00,07:30-09:00,07:30-09:00,,07:30-09:00,
